,sku,price,attribute
553,KMTB602F,151990,5
554,KMTB60F,165990,2
555,KMTB60F,165990,3
556,KMTB60F,165990,4
557,KMTB60F,165990,5
558,KMTB60K,143990,2
559,KMTB60K,143990,3
560,KMTB60K,143990,4
561,KMTB60K,143990,5
562,KMTH60,138990,2
563,KMTH60,138990,3
564,KMTH60,138990,4
565,KMTH60,138990,5
566,KMTH60W,137990,2
567,KMTH60W,137990,3
568,KMTH60W,137990,4
569,KMTH60W,137990,5
570,KMTH75W,153990,2
571,KMTH75W,153990,3
572,KMTH75W,153990,4
573,KMTH75W,153990,5
574,KTB60,123990,2
575,KTB60,123990,3
576,KTB60,123990,4
577,KTB60,123990,5
