PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value
HUF-2025-Q12603,52990,PR00011,AKL30,4
HUF-2025-Q12603,52990,PR00011,AKL30,5
HUF-2025-Q12603,54990,PR00011,AKL30,7
HUF-2025-Q12603,44990,PR00011,AML35_J,1
HUF-2025-Q12603,55990,PR00011,AML35_J,2
HUF-2025-Q12603,55990,PR00011,AML35_J,3
HUF-2025-Q12603,55990,PR00011,AML35_J,4
HUF-2025-Q12603,55990,PR00011,AML35_J,5
HUF-2025-Q12603,56990,PR00011,AML35_J,7
HUF-2025-Q12603,44990,PR00011,AML35_B,1
HUF-2025-Q12603,55990,PR00011,AML35_B,2
HUF-2025-Q12603,55990,PR00011,AML35_B,3
HUF-2025-Q12603,55990,PR00011,AML35_B,4
HUF-2025-Q12603,55990,PR00011,AML35_B,5
HUF-2025-Q12603,56990,PR00011,AML35_B,7
HUF-2025-Q12603,45990,PR00011,AML40_J,1
HUF-2025-Q12603,57990,PR00011,AML40_J,2
HUF-2025-Q12603,57990,PR00011,AML40_J,3
HUF-2025-Q12603,57990,PR00011,AML40_J,4
HUF-2025-Q12603,57990,PR00011,AML40_J,5
HUF-2025-Q12603,58990,PR00011,AML40_J,7
HUF-2025-Q12603,45990,PR00011,AML40_B,1
HUF-2025-Q12603,57990,PR00011,AML40_B,2
HUF-2025-Q12603,57990,PR00011,AML40_B,3
HUF-2025-Q12603,57990,PR00011,AML40_B,4
HUF-2025-Q12603,57990,PR00011,AML40_B,5
HUF-2025-Q12603,58990,PR00011,AML40_B,7
HUF-2025-Q12603,44990,PR00011,AKL40,1
HUF-2025-Q12603,54990,PR00011,AKL40,2
HUF-2025-Q12603,54990,PR00011,AKL40,3
HUF-2025-Q12603,54990,PR00011,AKL40,4
HUF-2025-Q12603,54990,PR00011,AKL40,5
HUF-2025-Q12603,55990,PR00011,AKL40,7
HUF-2025-Q12603,44990,PR00011,AET40_J,1
HUF-2025-Q12603,54990,PR00011,AET40_J,2
HUF-2025-Q12603,54990,PR00011,AET40_J,3
HUF-2025-Q12603,54990,PR00011,AET40_J,4
HUF-2025-Q12603,54990,PR00011,AET40_J,5
HUF-2025-Q12603,55990,PR00011,AET40_J,7
HUF-2025-Q12603,44990,PR00011,AET40_B,1
HUF-2025-Q12603,54990,PR00011,AET40_B,2
HUF-2025-Q12603,54990,PR00011,AET40_B,3
HUF-2025-Q12603,54990,PR00011,AET40_B,4
HUF-2025-Q12603,54990,PR00011,AET40_B,5
HUF-2025-Q12603,55990,PR00011,AET40_B,7
HUF-2025-Q12603,45990,PR00011,AML45_J,1
HUF-2025-Q12603,59990,PR00011,AML45_J,2
HUF-2025-Q12603,59990,PR00011,AML45_J,3
HUF-2025-Q12603,59990,PR00011,AML45_J,4
HUF-2025-Q12603,59990,PR00011,AML45_J,5
HUF-2025-Q12603,61990,PR00011,AML45_J,7
HUF-2025-Q12603,45990,PR00011,AML45_B,1
HUF-2025-Q12603,59990,PR00011,AML45_B,2
HUF-2025-Q12603,59990,PR00011,AML45_B,3
HUF-2025-Q12603,59990,PR00011,AML45_B,4
HUF-2025-Q12603,59990,PR00011,AML45_B,5
HUF-2025-Q12603,61990,PR00011,AML45_B,7
HUF-2025-Q12603,46990,PR00011,AML50_J,1
HUF-2025-Q12603,61990,PR00011,AML50_J,2
HUF-2025-Q12603,61990,PR00011,AML50_J,3
HUF-2025-Q12603,61990,PR00011,AML50_J,4
HUF-2025-Q12603,61990,PR00011,AML50_J,5
HUF-2025-Q12603,62990,PR00011,AML50_J,7
HUF-2025-Q12603,46990,PR00011,AML50_B,1
HUF-2025-Q12603,61990,PR00011,AML50_B,2
HUF-2025-Q12603,61990,PR00011,AML50_B,3
HUF-2025-Q12603,61990,PR00011,AML50_B,4
HUF-2025-Q12603,61990,PR00011,AML50_B,5
